No. De Iteración,ID Aprendíz,No. De Elementos,Costo de la ruta,Promedio,Valor de la Píldora,Posición
Iteración No. 1,Aprendiz 1,35,162,96.23529412,1,1
Iteración No. 1,Aprendiz 1,35,162,96.23529412,12,2
Iteración No. 1,Aprendiz 1,35,162,96.23529412,5,3
Iteración No. 1,Aprendiz 1,35,162,96.23529412,10,4
Iteración No. 1,Aprendiz 1,35,162,96.23529412,9,5
Iteración No. 1,Aprendiz 1,35,162,96.23529412,7,6
Iteración No. 1,Aprendiz 1,35,162,96.23529412,3,7
Iteración No. 1,Aprendiz 1,35,162,96.23529412,4,8
Iteración No. 1,Aprendiz 1,35,162,96.23529412,11,9
Iteración No. 1,Aprendiz 1,35,162,96.23529412,2,10
Iteración No. 1,Aprendiz 1,35,162,96.23529412,6,11
Iteración No. 1,Aprendiz 1,35,162,96.23529412,19,12
Iteración No. 1,Aprendiz 1,35,162,96.23529412,14,13
Iteración No. 1,Aprendiz 1,35,162,96.23529412,17,14
Iteración No. 1,Aprendiz 1,35,162,96.23529412,24,15
Iteración No. 1,Aprendiz 1,35,162,96.23529412,15,16
Iteración No. 1,Aprendiz 1,35,162,96.23529412,13,17
Iteración No. 1,Aprendiz 1,35,162,96.23529412,21,18
Iteración No. 1,Aprendiz 1,35,162,96.23529412,16,19
Iteración No. 1,Aprendiz 1,35,162,96.23529412,22,20
Iteración No. 1,Aprendiz 1,35,162,96.23529412,23,21
Iteración No. 1,Aprendiz 1,35,162,96.23529412,18,22
Iteración No. 1,Aprendiz 1,35,162,96.23529412,20,23
Iteración No. 1,Aprendiz 1,35,162,96.23529412,26,24
Iteración No. 1,Aprendiz 1,35,162,96.23529412,30,25
Iteración No. 1,Aprendiz 1,35,162,96.23529412,25,26
Iteración No. 1,Aprendiz 1,35,162,96.23529412,31,27
Iteración No. 1,Aprendiz 1,35,162,96.23529412,34,28
Iteración No. 1,Aprendiz 1,35,162,96.23529412,35,29
Iteración No. 1,Aprendiz 1,35,162,96.23529412,33,30
Iteración No. 1,Aprendiz 1,35,162,96.23529412,36,31
Iteración No. 1,Aprendiz 1,35,162,96.23529412,27,32
Iteración No. 1,Aprendiz 1,35,162,96.23529412,28,33
Iteración No. 1,Aprendiz 1,35,162,96.23529412,32,34
Iteración No. 1,Aprendiz 1,35,162,96.23529412,29,35
,,,,,,
Iteración No. 1,Aprendiz 2,35,227,94.32352941,1,1
Iteración No. 1,Aprendiz 2,35,227,94.32352941,5,2
Iteración No. 1,Aprendiz 2,35,227,94.32352941,2,3
Iteración No. 1,Aprendiz 2,35,227,94.32352941,4,4
Iteración No. 1,Aprendiz 2,35,227,94.32352941,8,5
Iteración No. 1,Aprendiz 2,35,227,94.32352941,11,6
Iteración No. 1,Aprendiz 2,35,227,94.32352941,9,7
Iteración No. 1,Aprendiz 2,35,227,94.32352941,10,8
Iteración No. 1,Aprendiz 2,35,227,94.32352941,6,9
Iteración No. 1,Aprendiz 2,35,227,94.32352941,7,10
Iteración No. 1,Aprendiz 2,35,227,94.32352941,3,11
Iteración No. 1,Aprendiz 2,35,227,94.32352941,14,12
Iteración No. 1,Aprendiz 2,35,227,94.32352941,15,13
Iteración No. 1,Aprendiz 2,35,227,94.32352941,19,14
Iteración No. 1,Aprendiz 2,35,227,94.32352941,18,15
Iteración No. 1,Aprendiz 2,35,227,94.32352941,21,16
Iteración No. 1,Aprendiz 2,35,227,94.32352941,13,17
Iteración No. 1,Aprendiz 2,35,227,94.32352941,20,18
Iteración No. 1,Aprendiz 2,35,227,94.32352941,23,19
Iteración No. 1,Aprendiz 2,35,227,94.32352941,22,20
Iteración No. 1,Aprendiz 2,35,227,94.32352941,16,21
Iteración No. 1,Aprendiz 2,35,227,94.32352941,17,22
Iteración No. 1,Aprendiz 2,35,227,94.32352941,24,23
Iteración No. 1,Aprendiz 2,35,227,94.32352941,26,24
Iteración No. 1,Aprendiz 2,35,227,94.32352941,31,25
Iteración No. 1,Aprendiz 2,35,227,94.32352941,36,26
Iteración No. 1,Aprendiz 2,35,227,94.32352941,32,27
Iteración No. 1,Aprendiz 2,35,227,94.32352941,29,28
Iteración No. 1,Aprendiz 2,35,227,94.32352941,25,29
Iteración No. 1,Aprendiz 2,35,227,94.32352941,35,30
Iteración No. 1,Aprendiz 2,35,227,94.32352941,27,31
Iteración No. 1,Aprendiz 2,35,227,94.32352941,33,32
Iteración No. 1,Aprendiz 2,35,227,94.32352941,34,33
Iteración No. 1,Aprendiz 2,35,227,94.32352941,28,34
Iteración No. 1,Aprendiz 2,35,227,94.32352941,30,35
,,,,,,
Iteración No. 1,Aprendiz 3,35,201,95.08823529,1,1
Iteración No. 1,Aprendiz 3,35,201,95.08823529,5,2
Iteración No. 1,Aprendiz 3,35,201,95.08823529,7,3
Iteración No. 1,Aprendiz 3,35,201,95.08823529,9,4
Iteración No. 1,Aprendiz 3,35,201,95.08823529,6,5
Iteración No. 1,Aprendiz 3,35,201,95.08823529,8,6
Iteración No. 1,Aprendiz 3,35,201,95.08823529,2,7
Iteración No. 1,Aprendiz 3,35,201,95.08823529,10,8
