No. De Iteración,ID Aprendíz,No. De Elementos,Costo de la ruta,Promedio,Valor de la Píldora,Posición
Iteración No. 1,Aprendiz 3,36,298,92.48571429,27,26
Iteración No. 1,Aprendiz 3,36,298,92.48571429,28,27
Iteración No. 1,Aprendiz 3,36,298,92.48571429,30,28
Iteración No. 1,Aprendiz 3,36,298,92.48571429,31,29
Iteración No. 1,Aprendiz 3,36,298,92.48571429,29,30
Iteración No. 1,Aprendiz 3,36,298,92.48571429,25,31
Iteración No. 1,Aprendiz 3,36,298,92.48571429,35,32
Iteración No. 1,Aprendiz 3,36,298,92.48571429,34,33
Iteración No. 1,Aprendiz 3,36,298,92.48571429,33,34
Iteración No. 1,Aprendiz 3,36,298,92.48571429,32,35
Iteración No. 1,Aprendiz 3,36,298,92.48571429,36,36
,,,,,,
Iteración No. 1,Aprendiz 4,36,157,96.51428571,1,1
Iteración No. 1,Aprendiz 4,36,157,96.51428571,8,2
Iteración No. 1,Aprendiz 4,36,157,96.51428571,11,3
Iteración No. 1,Aprendiz 4,36,157,96.51428571,6,4
Iteración No. 1,Aprendiz 4,36,157,96.51428571,10,5
Iteración No. 1,Aprendiz 4,36,157,96.51428571,3,6
Iteración No. 1,Aprendiz 4,36,157,96.51428571,2,7
Iteración No. 1,Aprendiz 4,36,157,96.51428571,5,8
Iteración No. 1,Aprendiz 4,36,157,96.51428571,12,9
Iteración No. 1,Aprendiz 4,36,157,96.51428571,4,10
Iteración No. 1,Aprendiz 4,36,157,96.51428571,9,11
Iteración No. 1,Aprendiz 4,36,157,96.51428571,7,12
Iteración No. 1,Aprendiz 4,36,157,96.51428571,17,13
Iteración No. 1,Aprendiz 4,36,157,96.51428571,24,14
Iteración No. 1,Aprendiz 4,36,157,96.51428571,22,15
Iteración No. 1,Aprendiz 4,36,157,96.51428571,18,16
Iteración No. 1,Aprendiz 4,36,157,96.51428571,16,17
Iteración No. 1,Aprendiz 4,36,157,96.51428571,19,18
Iteración No. 1,Aprendiz 4,36,157,96.51428571,15,19
Iteración No. 1,Aprendiz 4,36,157,96.51428571,23,20
Iteración No. 1,Aprendiz 4,36,157,96.51428571,13,21
Iteración No. 1,Aprendiz 4,36,157,96.51428571,14,22
Iteración No. 1,Aprendiz 4,36,157,96.51428571,21,23
Iteración No. 1,Aprendiz 4,36,157,96.51428571,20,24
Iteración No. 1,Aprendiz 4,36,157,96.51428571,29,25
Iteración No. 1,Aprendiz 4,36,157,96.51428571,32,26
Iteración No. 1,Aprendiz 4,36,157,96.51428571,28,27
Iteración No. 1,Aprendiz 4,36,157,96.51428571,26,28
Iteración No. 1,Aprendiz 4,36,157,96.51428571,30,29
Iteración No. 1,Aprendiz 4,36,157,96.51428571,25,30
Iteración No. 1,Aprendiz 4,36,157,96.51428571,27,31
Iteración No. 1,Aprendiz 4,36,157,96.51428571,34,32
Iteración No. 1,Aprendiz 4,36,157,96.51428571,35,33
Iteración No. 1,Aprendiz 4,36,157,96.51428571,33,34
Iteración No. 1,Aprendiz 4,36,157,96.51428571,31,35
Iteración No. 1,Aprendiz 4,36,157,96.51428571,36,36
,,,,,,
Iteración No. 1,Aprendiz 5,36,290,92.71428571,1,1
Iteración No. 1,Aprendiz 5,36,290,92.71428571,3,2
Iteración No. 1,Aprendiz 5,36,290,92.71428571,9,3
Iteración No. 1,Aprendiz 5,36,290,92.71428571,12,4
Iteración No. 1,Aprendiz 5,36,290,92.71428571,2,5
Iteración No. 1,Aprendiz 5,36,290,92.71428571,6,6
Iteración No. 1,Aprendiz 5,36,290,92.71428571,4,7
Iteración No. 1,Aprendiz 5,36,290,92.71428571,5,8
Iteración No. 1,Aprendiz 5,36,290,92.71428571,10,9
Iteración No. 1,Aprendiz 5,36,290,92.71428571,7,10
Iteración No. 1,Aprendiz 5,36,290,92.71428571,11,11
Iteración No. 1,Aprendiz 5,36,290,92.71428571,8,12
Iteración No. 1,Aprendiz 5,36,290,92.71428571,15,13
Iteración No. 1,Aprendiz 5,36,290,92.71428571,14,14
Iteración No. 1,Aprendiz 5,36,290,92.71428571,24,15
Iteración No. 1,Aprendiz 5,36,290,92.71428571,13,16
Iteración No. 1,Aprendiz 5,36,290,92.71428571,19,17
Iteración No. 1,Aprendiz 5,36,290,92.71428571,20,18
Iteración No. 1,Aprendiz 5,36,290,92.71428571,23,19
Iteración No. 1,Aprendiz 5,36,290,92.71428571,17,20
Iteración No. 1,Aprendiz 5,36,290,92.71428571,18,21
Iteración No. 1,Aprendiz 5,36,290,92.71428571,16,22
Iteración No. 1,Aprendiz 5,36,290,92.71428571,21,23
Iteración No. 1,Aprendiz 5,36,290,92.71428571,22,24
Iteración No. 1,Aprendiz 5,36,290,92.71428571,25,25
Iteración No. 1,Aprendiz 5,36,290,92.71428571,30,26
Iteración No. 1,Aprendiz 5,36,290,92.71428571,34,27
Iteración No. 1,Aprendiz 5,36,290,92.71428571,33,28
Iteración No. 1,Aprendiz 5,36,290,92.71428571,32,29
Iteración No. 1,Aprendiz 5,36,290,92.71428571,31,30
Iteración No. 1,Aprendiz 5,36,290,92.71428571,29,31
Iteración No. 1,Aprendiz 5,36,290,92.71428571,26,32
Iteración No. 1,Aprendiz 5,36,290,92.71428571,27,33
Iteración No. 1,Aprendiz 5,36,290,92.71428571,36,34
Iteración No. 1,Aprendiz 5,36,290,92.71428571,28,35
Iteración No. 1,Aprendiz 5,36,290,92.71428571,35,36
,,,,,,
Iteración No. 1,Aprendiz 6,35,96,98.17647059,1,1
Iteración No. 1,Aprendiz 6,35,96,98.17647059,10,2
Iteración No. 1,Aprendiz 6,35,96,98.17647059,3,3
Iteración No. 1,Aprendiz 6,35,96,98.17647059,11,4
Iteración No. 1,Aprendiz 6,35,96,98.17647059,2,5
Iteración No. 1,Aprendiz 6,35,96,98.17647059,6,6
Iteración No. 1,Aprendiz 6,35,96,98.17647059,5,7
Iteración No. 1,Aprendiz 6,35,96,98.17647059,12,8
Iteración No. 1,Aprendiz 6,35,96,98.17647059,4,9
Iteración No. 1,Aprendiz 6,35,96,98.17647059,7,10
Iteración No. 1,Aprendiz 6,35,96,98.17647059,9,11
Iteración No. 1,Aprendiz 6,35,96,98.17647059,13,12
Iteración No. 1,Aprendiz 6,35,96,98.17647059,23,13
Iteración No. 1,Aprendiz 6,35,96,98.17647059,19,14
Iteración No. 1,Aprendiz 6,35,96,98.17647059,20,15
Iteración No. 1,Aprendiz 6,35,96,98.17647059,15,16
Iteración No. 1,Aprendiz 6,35,96,98.17647059,21,17
Iteración No. 1,Aprendiz 6,35,96,98.17647059,14,18
Iteración No. 1,Aprendiz 6,35,96,98.17647059,18,19
Iteración No. 1,Aprendiz 6,35,96,98.17647059,16,20
Iteración No. 1,Aprendiz 6,35,96,98.17647059,22,21
Iteración No. 1,Aprendiz 6,35,96,98.17647059,24,22
Iteración No. 1,Aprendiz 6,35,96,98.17647059,17,23
Iteración No. 1,Aprendiz 6,35,96,98.17647059,36,24
Iteración No. 1,Aprendiz 6,35,96,98.17647059,26,25
Iteración No. 1,Aprendiz 6,35,96,98.17647059,27,26
Iteración No. 1,Aprendiz 6,35,96,98.17647059,30,27
Iteración No. 1,Aprendiz 6,35,96,98.17647059,33,28
Iteración No. 1,Aprendiz 6,35,96,98.17647059,25,29
Iteración No. 1,Aprendiz 6,35,96,98.17647059,31,30
Iteración No. 1,Aprendiz 6,35,96,98.17647059,29,31
Iteración No. 1,Aprendiz 6,35,96,98.17647059,35,32
Iteración No. 1,Aprendiz 6,35,96,98.17647059,28,33
Iteración No. 1,Aprendiz 6,35,96,98.17647059,32,34
Iteración No. 1,Aprendiz 6,35,96,98.17647059,34,35
,,,,,,
Iteración No. 1,Aprendiz 7,36,204,95.17142857,1,1
Iteración No. 1,Aprendiz 7,36,204,95.17142857,2,2
Iteración No. 1,Aprendiz 7,36,204,95.17142857,8,3
Iteración No. 1,Aprendiz 7,36,204,95.17142857,11,4
Iteración No. 1,Aprendiz 7,36,204,95.17142857,5,5
Iteración No. 1,Aprendiz 7,36,204,95.17142857,3,6
Iteración No. 1,Aprendiz 7,36,204,95.17142857,6,7
Iteración No. 1,Aprendiz 7,36,204,95.17142857,9,8
Iteración No. 1,Aprendiz 7,36,204,95.17142857,10,9
Iteración No. 1,Aprendiz 7,36,204,95.17142857,4,10
Iteración No. 1,Aprendiz 7,36,204,95.17142857,7,11
Iteración No. 1,Aprendiz 7,36,204,95.17142857,12,12
Iteración No. 1,Aprendiz 7,36,204,95.17142857,13,13
Iteración No. 1,Aprendiz 7,36,204,95.17142857,16,14
Iteración No. 1,Aprendiz 7,36,204,95.17142857,14,15
Iteración No. 1,Aprendiz 7,36,204,95.17142857,22,16
Iteración No. 1,Aprendiz 7,36,204,95.17142857,17,17
Iteración No. 1,Aprendiz 7,36,204,95.17142857,15,18
Iteración No. 1,Aprendiz 7,36,204,95.17142857,24,19
Iteración No. 1,Aprendiz 7,36,204,95.17142857,18,20
Iteración No. 1,Aprendiz 7,36,204,95.17142857,23,21
Iteración No. 1,Aprendiz 7,36,204,95.17142857,21,22
Iteración No. 1,Aprendiz 7,36,204,95.17142857,19,23
Iteración No. 1,Aprendiz 7,36,204,95.17142857,20,24
Iteración No. 1,Aprendiz 7,36,204,95.17142857,30,25
Iteración No. 1,Aprendiz 7,36,204,95.17142857,28,26
Iteración No. 1,Aprendiz 7,36,204,95.17142857,29,27
Iteración No. 1,Aprendiz 7,36,204,95.17142857,31,28
Iteración No. 1,Aprendiz 7,36,204,95.17142857,27,29
Iteración No. 1,Aprendiz 7,36,204,95.17142857,26,30
Iteración No. 1,Aprendiz 7,36,204,95.17142857,32,31
Iteración No. 1,Aprendiz 7,36,204,95.17142857,35,32
Iteración No. 1,Aprendiz 7,36,204,95.17142857,36,33
Iteración No. 1,Aprendiz 7,36,204,95.17142857,34,34
Iteración No. 1,Aprendiz 7,36,204,95.17142857,25,35
Iteración No. 1,Aprendiz 7,36,204,95.17142857,33,36
,,,,,,
Iteración No. 1,Aprendiz 8,36,129,97.31428571,1,1
Iteración No. 1,Aprendiz 8,36,129,97.31428571,6,2
Iteración No. 1,Aprendiz 8,36,129,97.31428571,12,3
Iteración No. 1,Aprendiz 8,36,129,97.31428571,5,4
Iteración No. 1,Aprendiz 8,36,129,97.31428571,4,5
Iteración No. 1,Aprendiz 8,36,129,97.31428571,8,6
Iteración No. 1,Aprendiz 8,36,129,97.31428571,9,7
Iteración No. 1,Aprendiz 8,36,129,97.31428571,7,8
Iteración No. 1,Aprendiz 8,36,129,97.31428571,3,9
Iteración No. 1,Aprendiz 8,36,129,97.31428571,10,10
Iteración No. 1,Aprendiz 8,36,129,97.31428571,2,11
Iteración No. 1,Aprendiz 8,36,129,97.31428571,11,12
Iteración No. 1,Aprendiz 8,36,129,97.31428571,16,13
Iteración No. 1,Aprendiz 8,36,129,97.31428571,14,14
Iteración No. 1,Aprendiz 8,36,129,97.31428571,13,15
Iteración No. 1,Aprendiz 8,36,129,97.31428571,17,16
Iteración No. 1,Aprendiz 8,36,129,97.31428571,22,17
Iteración No. 1,Aprendiz 8,36,129,97.31428571,15,18
Iteración No. 1,Aprendiz 8,36,129,97.31428571,21,19
Iteración No. 1,Aprendiz 8,36,129,97.31428571,24,20
Iteración No. 1,Aprendiz 8,36,129,97.31428571,18,21
Iteración No. 1,Aprendiz 8,36,129,97.31428571,20,22
Iteración No. 1,Aprendiz 8,36,129,97.31428571,23,23
Iteración No. 1,Aprendiz 8,36,129,97.31428571,19,24
Iteración No. 1,Aprendiz 8,36,129,97.31428571,31,25
Iteración No. 1,Aprendiz 8,36,129,97.31428571,33,26
Iteración No. 1,Aprendiz 8,36,129,97.31428571,32,27
Iteración No. 1,Aprendiz 8,36,129,97.31428571,36,28
Iteración No. 1,Aprendiz 8,36,129,97.31428571,25,29
Iteración No. 1,Aprendiz 8,36,129,97.31428571,29,30
Iteración No. 1,Aprendiz 8,36,129,97.31428571,28,31
Iteración No. 1,Aprendiz 8,36,129,97.31428571,35,32
Iteración No. 1,Aprendiz 8,36,129,97.31428571,26,33
Iteración No. 1,Aprendiz 8,36,129,97.31428571,27,34
Iteración No. 1,Aprendiz 8,36,129,97.31428571,30,35
Iteración No. 1,Aprendiz 8,36,129,97.31428571,34,36
,,,,,,
Iteración No. 1,Aprendiz 9,34,33,100,1,1
Iteración No. 1,Aprendiz 9,34,33,100,8,2
Iteración No. 1,Aprendiz 9,34,33,100,6,3
Iteración No. 1,Aprendiz 9,34,33,100,3,4
Iteración No. 1,Aprendiz 9,34,33,100,4,5
Iteración No. 1,Aprendiz 9,34,33,100,10,6
Iteración No. 1,Aprendiz 9,34,33,100,12,7
Iteración No. 1,Aprendiz 9,34,33,100,5,8
Iteración No. 1,Aprendiz 9,34,33,100,9,9
Iteración No. 1,Aprendiz 9,34,33,100,7,10
Iteración No. 1,Aprendiz 9,34,33,100,11,11
Iteración No. 1,Aprendiz 9,34,33,100,20,12
Iteración No. 1,Aprendiz 9,34,33,100,23,13
Iteración No. 1,Aprendiz 9,34,33,100,21,14
Iteración No. 1,Aprendiz 9,34,33,100,15,15
Iteración No. 1,Aprendiz 9,34,33,100,22,16
Iteración No. 1,Aprendiz 9,34,33,100,14,17
Iteración No. 1,Aprendiz 9,34,33,100,17,18
Iteración No. 1,Aprendiz 9,34,33,100,19,19
Iteración No. 1,Aprendiz 9,34,33,100,13,20
Iteración No. 1,Aprendiz 9,34,33,100,16,21
Iteración No. 1,Aprendiz 9,34,33,100,18,22
Iteración No. 1,Aprendiz 9,34,33,100,31,23
Iteración No. 1,Aprendiz 9,34,33,100,35,24
Iteración No. 1,Aprendiz 9,34,33,100,25,25
Iteración No. 1,Aprendiz 9,34,33,100,28,26
Iteración No. 1,Aprendiz 9,34,33,100,29,27
Iteración No. 1,Aprendiz 9,34,33,100,26,28
Iteración No. 1,Aprendiz 9,34,33,100,30,29
Iteración No. 1,Aprendiz 9,34,33,100,32,30
Iteración No. 1,Aprendiz 9,34,33,100,33,31
Iteración No. 1,Aprendiz 9,34,33,100,36,32
Iteración No. 1,Aprendiz 9,34,33,100,27,33
Iteración No. 1,Aprendiz 9,34,33,100,34,34
,,,,,,
Iteración No. 1,Aprendiz 10,36,66,99.11428571,1,1
Iteración No. 1,Aprendiz 10,36,66,99.11428571,2,2
Iteración No. 1,Aprendiz 10,36,66,99.11428571,3,3
Iteración No. 1,Aprendiz 10,36,66,99.11428571,4,4
Iteración No. 1,Aprendiz 10,36,66,99.11428571,8,5
Iteración No. 1,Aprendiz 10,36,66,99.11428571,11,6
Iteración No. 1,Aprendiz 10,36,66,99.11428571,9,7
Iteración No. 1,Aprendiz 10,36,66,99.11428571,10,8
Iteración No. 1,Aprendiz 10,36,66,99.11428571,12,9
Iteración No. 1,Aprendiz 10,36,66,99.11428571,5,10
Iteración No. 1,Aprendiz 10,36,66,99.11428571,7,11
Iteración No. 1,Aprendiz 10,36,66,99.11428571,6,12
Iteración No. 1,Aprendiz 10,36,66,99.11428571,13,13
Iteración No. 1,Aprendiz 10,36,66,99.11428571,21,14
Iteración No. 1,Aprendiz 10,36,66,99.11428571,23,15
Iteración No. 1,Aprendiz 10,36,66,99.11428571,22,16
Iteración No. 1,Aprendiz 10,36,66,99.11428571,17,17
Iteración No. 1,Aprendiz 10,36,66,99.11428571,15,18
Iteración No. 1,Aprendiz 10,36,66,99.11428571,19,19
Iteración No. 1,Aprendiz 10,36,66,99.11428571,24,20
Iteración No. 1,Aprendiz 10,36,66,99.11428571,14,21
Iteración No. 1,Aprendiz 10,36,66,99.11428571,16,22
Iteración No. 1,Aprendiz 10,36,66,99.11428571,18,23
Iteración No. 1,Aprendiz 10,36,66,99.11428571,20,24
Iteración No. 1,Aprendiz 10,36,66,99.11428571,35,25
Iteración No. 1,Aprendiz 10,36,66,99.11428571,26,26
Iteración No. 1,Aprendiz 10,36,66,99.11428571,36,27
Iteración No. 1,Aprendiz 10,36,66,99.11428571,31,28
Iteración No. 1,Aprendiz 10,36,66,99.11428571,32,29
Iteración No. 1,Aprendiz 10,36,66,99.11428571,30,30
Iteración No. 1,Aprendiz 10,36,66,99.11428571,27,31
Iteración No. 1,Aprendiz 10,36,66,99.11428571,25,32
Iteración No. 1,Aprendiz 10,36,66,99.11428571,28,33
Iteración No. 1,Aprendiz 10,36,66,99.11428571,33,34
Iteración No. 1,Aprendiz 10,36,66,99.11428571,29,35
Iteración No. 1,Aprendiz 10,36,66,99.11428571,34,36
,,,,,,
Iteración No. 2,Aprendiz 1,36,66,99.11428571,1,1
Iteración No. 2,Aprendiz 1,36,66,99.11428571,12,2
Iteración No. 2,Aprendiz 1,36,66,99.11428571,8,3
